date,open,high,low,close,volume,ticker
2025-03-28,388.079987,389.13,376.92999,378.79999,21632000,MSFT
2025-03-28,89.34,89.38,84.099998,85.85,91091700,PLTR
2025-03-31,105.13,110.96,103.65,108.38,299212700,NVDA
2025-03-31,372.54001,377.070007,367.23999,375.39001,35184700,MSFT
2025-03-31,80,84.65,78.75,84.4,108092900,PLTR
2025-04-01,374.64999,382.85001,373.23001,382.19,19689500,MSFT
2025-04-01,83.89,85.28,81.82,84.68,78980700,PLTR
2025-04-01,108.52,110.2,106.47,110.15,222614000,NVDA
2025-04-02,82.4,88.405,82.3,87.45,96563100,PLTR
2025-04-02,377.97,385.079987,376.62,382.14001,16092600,MSFT
2025-04-02,107.29,111.98,106.79,110.42,220601200,NVDA
2025-04-03,374.79001,377.48001,369.35001,373.10999,30198000,MSFT
2025-04-03,103.51,105.63,101.6,101.8,338769400,NVDA
2025-04-03,81.25,85.68,81.010002,83.6,93878200,PLTR
2025-04-04,364.13,374.59,359.48001,359.84,49209900,MSFT
2025-04-04,98.91,100.13,92.11,94.31,532273800,NVDA
2025-04-04,80.07,80.98,71.93,74.010002,147323200,PLTR
2025-04-07,350.88,371,344.79001,357.85999,50425000,MSFT
2025-04-07,87.46,101.75,86.62,97.64,611041300,NVDA
2025-04-07,66.65,81.8,66.12,77.84,169083700,PLTR
2025-04-08,368.26001,373.64999,350.25,354.56,35868900,MSFT
2025-04-08,103.81,105.85,94.46,96.3,476243400,NVDA
2025-04-08,83.29,86.114,75.22,77.32,135345600,PLTR
2025-04-09,353.54001,393.23001,353.10001,390.48999,50199700,MSFT
2025-04-09,78.19,93.33,77.27,92.010002,187244300,PLTR
2025-04-09,98.89,115.099998,97.53,114.33,612918300,NVDA
2025-04-10,88.4,90.78,84.14,88.59,124448200,PLTR
2025-04-10,109.37,110.86,99.15,107.57,437812400,NVDA
2025-04-10,382.059998,383.89999,367.79999,381.35001,38024400,MSFT
2025-04-11,108.5,111.55,107.48,110.93,313417300,NVDA
2025-04-11,380.64001,390.049988,378.89001,388.45001,23839200,MSFT
2025-04-11,87.98,89.55,85.47,88.55,95130700,PLTR
2025-04-14,393.22,394.64999,384.20999,387.81,19251200,MSFT
2025-04-14,114.11,114.29,109.07,110.71,264705000,NVDA
2025-04-14,95.8,97.33,91.46,92.62,122836900,PLTR
2025-04-15,110.97,113.62,110.5,112.2,228966900,NVDA
2025-04-15,93.53,98.99,93.050003,98.4,118457700,PLTR
2025-04-15,388.51001,391.89001,384.16,385.73001,17199900,MSFT
2025-04-16,104.55,106.79,100.45,104.49,397016900,NVDA
2025-04-16,380.67001,381.60999,368,371.60999,21967800,MSFT
2025-04-16,96.28,97.3,89.62,92.71,121997600,PLTR
2025-04-17,94.71,95.11,92.27,93.78,83991800,PLTR
2025-04-17,104.45,104.47,100.050003,101.49,290833400,NVDA
2025-04-17,373.75,374.32001,366.89001,367.78,20943700,MSFT
2025-04-21,98.77,99.44,95.040001,96.91,288501100,NVDA
2025-04-21,92.84,96.475,89.31,90.8,83831100,PLTR
2025-04-21,362.82001,364.48001,355.67001,359.12,20807300,MSFT
2025-04-22,363.38,367.76999,359.85999,366.82001,19485000,MSFT
